id,nombre
id27003,Antas de Ulla
id46040,Antella
id29015,Antequera
id35003,Antigua
id24005,"Antigua, La"
id34012,Antigüedad
id22029,Antillón
id20011,Antzuola
id31017,Anue
id31019,Aoiz/Agoitz
id37031,Arabayona de Mógica
id21007,Aracena
id38004,Arafo
id22032,Aragüés del Puerto
id41011,Arahal
id40019,Arahuetes
id31020,Araitz
id48005,Arakaldo
id31025,Arakil
id20012,Arama
id01003,Aramaio
id31021,Aranarache/Aranaratxe
id42024,Arancón
id09018,Aranda de Duero
id50031,Aranda de Moncayo
id09019,Arandilla
id16020,Arandilla del Arroyo
id15003,Aranga
id31023,Aranguren
id28013,Aranjuez
id31024,Arano
id31022,Arantza
id48006,Arantzazu
id19036,Aranzueque
id37032,Arapiles
id31026,Aras
id46041,Aras de los Olmos
id09020,Arauzo de Miel
id09021,Arauzo de Salce
id09022,Arauzo de Torre
id12013,Arañuel
id19037,Arbancón
id25029,Arbeca
id19038,Arbeteta
id31027,Arbizu
id36001,Arbo
id04017,Arboleas
id43015,Arbolí
id43016,"Arboç, L'"
id17009,Arbúcies
id16905,Arcas
id31028,Arce/Artzi
id37033,Arcediano
id49010,Arcenillas
id30009,Archena
id29017,Archidona
id45015,Arcicóllar
id37034,"Arco, El"
id34015,Arconada
id40020,Arcones
id09023,Arcos
id42025,Arcos de Jalón
id11006,Arcos de la Frontera
id49011,Arcos de la Polvorosa
id16022,Arcos de la Sierra
id44026,Arcos de las Salinas
id31029,"Arcos, Los"
id29018,Ardales
id50033,Ardisa
id24006,Ardón
id48093,Areatza
id31030,Arellano
id05013,"Arenal, El"
id13903,Arenales de San Gregorio
id29019,Arenas
id39004,Arenas de Iguña
id13018,Arenas de San Juan
id05014,Arenas de San Pedro
id18020,Arenas del Rey
id42026,Arenillas
id09024,Arenillas de Riopisuerga
id44027,Arens de Lledó
id08006,Arenys de Mar
id08007,Arenys de Munt
id26015,Arenzana de Abajo
id26016,Arenzana de Arriba
id15004,Ares
id12014,Ares del Maestrat
id31031,Areso
id20013,Aretxabaleta
id05015,Arevalillo
id40021,Arevalillo de Cega
id13019,Argamasilla de Alba
id13020,Argamasilla de Calatrava
id28014,Arganda del Rey
id24007,Arganza
id22036,Argavieso
id49012,Argañín
id19039,Argecilla
id17010,Argelaguer
id12015,Argelita
id44028,Argente
id43017,"Argentera, L'"
id08009,Argentona
id08008,Argençola
id39005,Argoños
id31032,Arguedas
id22037,Arguis
id16024,Arguisuelas
id49013,Argujillo
id45016,Argés
id31033,Aria
id07901,Ariany
id31034,Aribe
id38005,Arico
id09025,Arija
id50034,Ariza
id44029,Ariño
id23006,Arjona
id23007,Arjonilla
id09026,Arlanzón
id19040,Armallones
id31035,Armañanzas
id17011,"Armentera, L'"
id37035,Armenteros
id18021,Armilla
id01006,Armiñón
id40022,Armuña
id04018,Armuña de Almanzora
id19041,Armuña de Tajuña
id26017,Arnedillo
id26018,Arnedo
id43018,Arnes
id32003,"Arnoia, A"
id39006,Arnuero
id21008,Aroche
id38006,Arona
id49014,Arquillinos
id23008,Arquillos
id49015,Arrabalde
id01037,Arraia-Maeztu
id16025,Arrancacepas
id48009,Arrankudiaga
id20055,Arrasate/Mondragón
id48914,Arratzu
id01008,Arratzua-Ubarrundia
id09027,Arraya de Oca
id35004,Arrecife
id39007,Arredondo
id25031,Arres
id29020,Arriate
id48010,Arrieta
id48011,Arrigorriaga
id13021,Arroba de los Montes
id06012,Arroyo de San Serván
id47010,Arroyo de la Encomienda
id10021,Arroyo de la Luz
id19042,Arroyo de las Fraguas
id23905,Arroyo del Ojanco
id10023,Arroyomolinos
id28015,Arroyomolinos
id21009,Arroyomolinos de León
id10022,Arroyomolinos de la Vera
id31037,Arruazu
id31036,Arróniz
id26019,Arrúbal
id25032,Arsèguel
id31038,Artajona
