idema,nombre,provincia_id,latitud,longitud,altitud
C418L,CITFAGRO_76_POZO,38,28.2,-16.75,700
C419L,LOMO DEL BALO,38,28.2,-16.7833,403
C419X,ADEJE,38,28.0667,-16.7,130
C422A,CITFAGRO_94_LOSTOPOS,38,28.1667,-16.65,1833
C423R,CITFAGRO_90_PICACHO,38,28.2167,-16.5167,1654
C426E,CITFAGRO_13_VILAFLOR,38,28.1333,-16.6167,1258
C426I,CITFAGRO_77_PINAL,38,28.1167,-16.6,880
C426R,CITFAGRO_09_HELECHO,38,28.2167,-16.4833,930
C428T,ARICO,38,28.1667,-16.4667,418
C428U,CITFAGRO_01_ARICO,38,28.1167,-16.4667,135
C429I,TENERIFE SUR AEROPUERTO,38,28.0333,-16.55,64
C430E,IZAÑA,38,28.3,-16.4833,2369
C436I,CITFAGRO_54_TOPONEGRO,38,28.3167,-16.4,290
C436L,CITFAGRO_96_ARAYA,38,28.3667,-16.3833,525
C437E,CITFAGRO_81_MENA,38,28.2667,-16.4167,500
C438N,CANDELARIA,38,28.35,-16.4,463
C439J,GÜÍMAR,38,28.3167,-16.3667,115
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",38,28.5167,-16.2667,868
C447A,TENERIFE NORTE AEROPUERTO,38,28.4667,-16.3167,632
C448C,CITFAGRO_92_SANTACRUZ,38,28.45,-16.2667,136
C449C,STA.CRUZ DE TENERIFE,38,28.45,-16.25,36
C449F,"ANAGA ",38,28.5,-16.1833,19
C449Q,CITFAGRO_97_TAGANANA,38,28.55,-16.2167,305
C453I,CITFAGRO_88_GAITERO,38,28.3833,-16.4333,1744
C455M,CITFAGRO_87_AGUAMANSA,38,28.35,-16.4833,1065
C456E,CITFAGRO_10_RAVELO,38,28.45,-16.4,922
C456P,CITFAGRO_70_BENIJO,38,28.35,-16.5333,906
C456R,CITFAGRO_69_SUERTE,38,28.3667,-16.5333,551
C457E,CITFAGRO_67_MATANZA,38,28.4333,-16.4333,650
C457I,LA VICTORIA DE ACENTEJO,38,28.4333,-16.45,567
C458A,TACORONTE,38,28.4833,-16.4167,310
C458U,CITFAGRO_71_PALOB,38,28.3667,-16.5667,595
C459Z,PUERTO DE LA CRUZ,38,28.4167,-16.5333,25
C466O,CITFAGRO_91_CUBO,38,28.3333,-16.7833,878
C467I,CITFAGRO_73_REDON,38,28.35,-16.7,525
C468I,CITFAGRO_98_ELDRAGO,38,28.3667,-16.7167,218
C468O,CITFAGRO_62_TRIGO,38,28.35,-16.8,450
C468X,SAN JUAN DE LA RAMBLA,38,28.3667,-16.6167,667
C611E,VEGA DE SAN MATEO,35,27.9667,-15.5833,1702
C612F,"TEJEDA, CRUZ DE TEJEDA",35,28,-15.5833,1514
C614H,TEJEDA,35,27.9833,-15.6,1060
C619I,LA ALDEA DE SAN NICOLÁS,35,28,-15.8,10
C619X,AGAETE,35,28.1,-15.7,5
C619Y,LA ALDEA DE SAN NICOLÁS,35,28,-15.8,13
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",35,27.9167,-15.5833,1220
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",35,27.85,-15.6333,806
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",35,27.9,-15.7667,318
C629Q,"MOGÁN, PUERTO RICO",35,27.7667,-15.7,10
C629X,"MOGÁN, PUERTO",35,27.8,-15.75,10
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",35,27.9167,-15.5667,960
C639M,"MASPALOMAS, C. INSULAR TURISMO ",35,27.75,-15.5667,45
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",35,27.8,-15.45,41
C648C,AGÜIMES,35,27.9,-15.45,306
C648N,"TELDE, CENTRO FORESTAL DORAMAS",35,27.9833,-15.45,344
C649I,GRAN CANARIA AEROPUERTO,35,27.9167,-15.3833,24
C649R,"TELDE, MELENARA",35,27.9833,-15.3667,9
C656V,TEROR,35,28.0667,-15.5333,683
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),35,28.0667,-15.45,269
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",35,28.0667,-15.45,269
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",35,28.0833,-15.4,55
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",35,28.1,-15.4167,15
C665T,VALLESECO,35,28.05,-15.55,900
C668V,AGAETE - SUERTE ALTA,35,28.0833,-15.6667,352
C669B,ARUCAS,35,28.1333,-15.5,86
C689E,MASPALOMAS,35,27.7333,-15.5833,6
C839I,TEGUISE,35,29.2167,-13.5,10
C839X,LA GRACIOSA,35,29.2167,-13.5,19
C916Q,"EL PINAR, DEPÓSITO",38,27.7167,-17.9667,948
C917E,"EL PINAR, LA DEHESA",38,27.7167,-18.1,713
C919K,TACORON-LAPILLAS-TORTUGA,38,27.65,-18.0167,98
C925F,"SAN ANDRÉS, VALVERDE",38,27.7667,-17.95,1070
C928I,VALVERDE,38,27.8,-17.9167,670
C929I,HIERRO AEROPUERTO,38,27.8167,-17.8833,32
C939T,"FRONTERA, SABINOSA",38,27.75,-18.1,20
